Hair Color,Eye Color,Skin Tone,Under Tone,Torso length,Body Proportion,Recommended Clothing Colors,Avoid Clothing Colors,Recommended Fitting Style,Recommended Materials,Recommended Patterns,Recommended Jewelry Metal,Recommended Shoes,Recommended Clothing Color Wheel Region,Avoid Clothing Color Wheel Region,Fabric Nature,Don't Exaggerate,Do Exaggerate
Brown,Green,Fair,Warm,Long Torso,Inverted Triangle,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",A-Line Bottoms,Flowy Fabric,Vertical Stripes,Gold,Heels or Platforms,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Flowy,Don't exaggerate shoulders,Exaggerate hips
Brown,Green,Fair,Warm,Long Torso,Triangle,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Emphasize Top,Lightweight Cotton,Bright Tops,Gold,Heels or Platforms,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Light,Don't exaggerate hips,Exaggerate upper body
Brown,Green,Fair,Warm,Long Torso,Oval,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Wraps and Empire,"Jersey, Knits",Diagonal Lines,Gold,Heels or Platforms,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Stretchy,Don't exaggerate midsection,Exaggerate neckline and legs
Brown,Green,Fair,Warm,Long Torso,Trapezoid,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Balanced Fit,Soft Blends,Simple Solids,Gold,Heels or Platforms,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Soft,Don't exaggerate any feature,Balance upper and lower body
Brown,Green,Fair,Warm,Long Torso,Hourglass,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Tailored Fit,"Stretchy, Soft Fabric",Subtle Prints,Gold,Heels or Platforms,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Stretchy,Don't exaggerate curves excessively,Highlight waistline
Brown,Green,Fair,Warm,Long Torso,Apple,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Empire Waist,Drapey Fabric,Dark Solid Tops,Gold,Heels or Platforms,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Drapey,Don't exaggerate waist,Exaggerate shoulders and legs
Brown,Green,Fair,Warm,Balanced,Rectangle,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Defined Waist,Structured Cotton,Curved Lines,Gold,Any Style,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Firm,Don't exaggerate straight lines,Exaggerate waistline
Brown,Green,Fair,Warm,Balanced,Inverted Triangle,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",A-Line Bottoms,Flowy Fabric,Vertical Stripes,Gold,Any Style,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Flowy,Don't exaggerate shoulders,Exaggerate hips
Brown,Green,Fair,Warm,Balanced,Triangle,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Emphasize Top,Lightweight Cotton,Bright Tops,Gold,Any Style,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Light,Don't exaggerate hips,Exaggerate upper body
Brown,Green,Fair,Warm,Balanced,Oval,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Wraps and Empire,"Jersey, Knits",Diagonal Lines,Gold,Any Style,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Stretchy,Don't exaggerate midsection,Exaggerate neckline and legs
Brown,Green,Fair,Warm,Balanced,Trapezoid,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Balanced Fit,Soft Blends,Simple Solids,Gold,Any Style,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Soft,Don't exaggerate any feature,Balance upper and lower body
Brown,Green,Fair,Warm,Balanced,Hourglass,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Tailored Fit,"Stretchy, Soft Fabric",Subtle Prints,Gold,Any Style,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Stretchy,Don't exaggerate curves excessively,Highlight waistline
Brown,Green,Fair,Warm,Balanced,Apple,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Empire Waist,Drapey Fabric,Dark Solid Tops,Gold,Any Style,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Drapey,Don't exaggerate waist,Exaggerate shoulders and legs
Brown,Green,Fair,Cool,Short Torso,Rectangle,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Defined Waist,Structured Cotton,Curved Lines,Silver,Low Heels or Flats,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel,Firm,Don't exaggerate straight lines,Exaggerate waistline
Brown,Green,Fair,Cool,Short Torso,Inverted Triangle,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",A-Line Bottoms,Flowy Fabric,Vertical Stripes,Silver,Low Heels or Flats,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel,Flowy,Don't exaggerate shoulders,Exaggerate hips
Brown,Green,Fair,Cool,Short Torso,Triangle,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Emphasize Top,Lightweight Cotton,Bright Tops,Silver,Low Heels or Flats,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel,Light,Don't exaggerate hips,Exaggerate upper body
Brown,Green,Fair,Cool,Short Torso,Oval,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Wraps and Empire,"Jersey, Knits",Diagonal Lines,Silver,Low Heels or Flats,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel,Stretchy,Don't exaggerate midsection,Exaggerate neckline and legs
Brown,Green,Fair,Cool,Short Torso,Trapezoid,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Balanced Fit,Soft Blends,Simple Solids,Silver,Low Heels or Flats,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel,Soft,Don't exaggerate any feature,Balance upper and lower body
Brown,Green,Fair,Cool,Short Torso,Hourglass,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Tailored Fit,"Stretchy, Soft Fabric",Subtle Prints,Silver,Low Heels or Flats,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel,Stretchy,Don't exaggerate curves excessively,Highlight waistline
Brown,Green,Fair,Cool,Short Torso,Apple,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Empire Waist,Drapey Fabric,Dark Solid Tops,Silver,Low Heels or Flats,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel,Drapey,Don't exaggerate waist,Exaggerate shoulders and legs
Brown,Green,Fair,Cool,Long Torso,Rectangle,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Defined Waist,Structured Cotton,Curved Lines,Silver,Heels or Platforms,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel,Firm,Don't exaggerate straight lines,Exaggerate waistline
Brown,Green,Fair,Cool,Long Torso,Inverted Triangle,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",A-Line Bottoms,Flowy Fabric,Vertical Stripes,Silver,Heels or Platforms,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel,Flowy,Don't exaggerate shoulders,Exaggerate hips
Brown,Green,Fair,Cool,Long Torso,Triangle,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Emphasize Top,Lightweight Cotton,Bright Tops,Silver,Heels or Platforms,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel,Light,Don't exaggerate hips,Exaggerate upper body
Brown,Green,Fair,Cool,Long Torso,Oval,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Wraps and Empire,"Jersey, Knits",Diagonal Lines,Silver,Heels or Platforms,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel,Stretchy,Don't exaggerate midsection,Exaggerate neckline and legs
Brown,Green,Fair,Cool,Long Torso,Trapezoid,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Balanced Fit,Soft Blends,Simple Solids,Silver,Heels or Platforms,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel,Soft,Don't exaggerate any feature,Balance upper and lower body
Brown,Green,Fair,Cool,Long Torso,Hourglass,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Tailored Fit,"Stretchy, Soft Fabric",Subtle Prints,Silver,Heels or Platforms,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel,Stretchy,Don't exaggerate curves excessively,Highlight waistline
Brown,Green,Fair,Cool,Long Torso,Apple,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Empire Waist,Drapey Fabric,Dark Solid Tops,Silver,Heels or Platforms,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel,Drapey,Don't exaggerate waist,Exaggerate shoulders and legs
Brown,Green,Fair,Cool,Balanced,Rectangle,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Defined Waist,Structured Cotton,Curved Lines,Silver,Any Style,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel,Firm,Don't exaggerate straight lines,Exaggerate waistline
Brown,Green,Fair,Cool,Balanced,Inverted Triangle,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",A-Line Bottoms,Flowy Fabric,Vertical Stripes,Silver,Any Style,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel,Flowy,Don't exaggerate shoulders,Exaggerate hips
Brown,Green,Fair,Cool,Balanced,Triangle,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Emphasize Top,Lightweight Cotton,Bright Tops,Silver,Any Style,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel,Light,Don't exaggerate hips,Exaggerate upper body
Brown,Green,Fair,Cool,Balanced,Oval,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Wraps and Empire,"Jersey, Knits",Diagonal Lines,Silver,Any Style,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel,Stretchy,Don't exaggerate midsection,Exaggerate neckline and legs
Brown,Green,Fair,Cool,Balanced,Trapezoid,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Balanced Fit,Soft Blends,Simple Solids,Silver,Any Style,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel,Soft,Don't exaggerate any feature,Balance upper and lower body
Brown,Green,Fair,Cool,Balanced,Hourglass,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Tailored Fit,"Stretchy, Soft Fabric",Subtle Prints,Silver,Any Style,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel,Stretchy,Don't exaggerate curves excessively,Highlight waistline
Brown,Green,Fair,Cool,Balanced,Apple,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Empire Waist,Drapey Fabric,Dark Solid Tops,Silver,Any Style,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel,Drapey,Don't exaggerate waist,Exaggerate shoulders and legs
Brown,Green,Fair,Neutral,Short Torso,Rectangle,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Defined Waist,Structured Cotton,Curved Lines,Rose Gold,Low Heels or Flats,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts,Firm,Don't exaggerate straight lines,Exaggerate waistline
Brown,Green,Fair,Neutral,Short Torso,Inverted Triangle,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",A-Line Bottoms,Flowy Fabric,Vertical Stripes,Rose Gold,Low Heels or Flats,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts,Flowy,Don't exaggerate shoulders,Exaggerate hips
Brown,Green,Fair,Neutral,Short Torso,Triangle,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Emphasize Top,Lightweight Cotton,Bright Tops,Rose Gold,Low Heels or Flats,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts,Light,Don't exaggerate hips,Exaggerate upper body
Brown,Green,Fair,Neutral,Short Torso,Oval,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Wraps and Empire,"Jersey, Knits",Diagonal Lines,Rose Gold,Low Heels or Flats,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts,Stretchy,Don't exaggerate midsection,Exaggerate neckline and legs
Brown,Green,Fair,Neutral,Short Torso,Trapezoid,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Balanced Fit,Soft Blends,Simple Solids,Rose Gold,Low Heels or Flats,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts,Soft,Don't exaggerate any feature,Balance upper and lower body
Brown,Green,Fair,Neutral,Short Torso,Hourglass,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Tailored Fit,"Stretchy, Soft Fabric",Subtle Prints,Rose Gold,Low Heels or Flats,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts,Stretchy,Don't exaggerate curves excessively,Highlight waistline
Brown,Green,Fair,Neutral,Short Torso,Apple,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Empire Waist,Drapey Fabric,Dark Solid Tops,Rose Gold,Low Heels or Flats,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts,Drapey,Don't exaggerate waist,Exaggerate shoulders and legs
Brown,Green,Fair,Neutral,Long Torso,Rectangle,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Defined Waist,Structured Cotton,Curved Lines,Rose Gold,Heels or Platforms,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts,Firm,Don't exaggerate straight lines,Exaggerate waistline
Brown,Green,Fair,Neutral,Long Torso,Inverted Triangle,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",A-Line Bottoms,Flowy Fabric,Vertical Stripes,Rose Gold,Heels or Platforms,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts,Flowy,Don't exaggerate shoulders,Exaggerate hips
Brown,Green,Fair,Neutral,Long Torso,Triangle,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Emphasize Top,Lightweight Cotton,Bright Tops,Rose Gold,Heels or Platforms,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts,Light,Don't exaggerate hips,Exaggerate upper body
Brown,Green,Fair,Neutral,Long Torso,Oval,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Wraps and Empire,"Jersey, Knits",Diagonal Lines,Rose Gold,Heels or Platforms,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts,Stretchy,Don't exaggerate midsection,Exaggerate neckline and legs
Brown,Green,Fair,Neutral,Long Torso,Trapezoid,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Balanced Fit,Soft Blends,Simple Solids,Rose Gold,Heels or Platforms,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts,Soft,Don't exaggerate any feature,Balance upper and lower body
Brown,Green,Fair,Neutral,Long Torso,Hourglass,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Tailored Fit,"Stretchy, Soft Fabric",Subtle Prints,Rose Gold,Heels or Platforms,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts,Stretchy,Don't exaggerate curves excessively,Highlight waistline
Brown,Green,Fair,Neutral,Long Torso,Apple,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Empire Waist,Drapey Fabric,Dark Solid Tops,Rose Gold,Heels or Platforms,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts,Drapey,Don't exaggerate waist,Exaggerate shoulders and legs
Brown,Green,Fair,Neutral,Balanced,Rectangle,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Defined Waist,Structured Cotton,Curved Lines,Rose Gold,Any Style,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts,Firm,Don't exaggerate straight lines,Exaggerate waistline
Brown,Green,Fair,Neutral,Balanced,Inverted Triangle,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",A-Line Bottoms,Flowy Fabric,Vertical Stripes,Rose Gold,Any Style,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts,Flowy,Don't exaggerate shoulders,Exaggerate hips
Brown,Green,Fair,Neutral,Balanced,Triangle,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Emphasize Top,Lightweight Cotton,Bright Tops,Rose Gold,Any Style,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts,Light,Don't exaggerate hips,Exaggerate upper body
Brown,Green,Fair,Neutral,Balanced,Oval,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Wraps and Empire,"Jersey, Knits",Diagonal Lines,Rose Gold,Any Style,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts,Stretchy,Don't exaggerate midsection,Exaggerate neckline and legs
Brown,Green,Fair,Neutral,Balanced,Trapezoid,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Balanced Fit,Soft Blends,Simple Solids,Rose Gold,Any Style,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts,Soft,Don't exaggerate any feature,Balance upper and lower body
Brown,Green,Fair,Neutral,Balanced,Hourglass,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Tailored Fit,"Stretchy, Soft Fabric",Subtle Prints,Rose Gold,Any Style,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts,Stretchy,Don't exaggerate curves excessively,Highlight waistline
Brown,Green,Fair,Neutral,Balanced,Apple,"Soft Pinks, Plums, Teal, Neutral Beige","Fluorescents, Harsh Yellow",Empire Waist,Drapey Fabric,Dark Solid Tops,Rose Gold,Any Style,"Neutral-friendly zones (balanced warm/cool like teal, plum, taupe)",Avoid clashing or harsh contrasts,Drapey,Don't exaggerate waist,Exaggerate shoulders and legs
Brown,Green,Medium,Warm,Short Torso,Rectangle,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Defined Waist,Structured Cotton,Curved Lines,Gold,Low Heels or Flats,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Firm,Don't exaggerate straight lines,Exaggerate waistline
Brown,Green,Medium,Warm,Short Torso,Inverted Triangle,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",A-Line Bottoms,Flowy Fabric,Vertical Stripes,Gold,Low Heels or Flats,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Flowy,Don't exaggerate shoulders,Exaggerate hips
Brown,Green,Medium,Warm,Short Torso,Triangle,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Emphasize Top,Lightweight Cotton,Bright Tops,Gold,Low Heels or Flats,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Light,Don't exaggerate hips,Exaggerate upper body
Brown,Green,Medium,Warm,Short Torso,Oval,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Wraps and Empire,"Jersey, Knits",Diagonal Lines,Gold,Low Heels or Flats,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Stretchy,Don't exaggerate midsection,Exaggerate neckline and legs
Brown,Green,Medium,Warm,Short Torso,Trapezoid,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Balanced Fit,Soft Blends,Simple Solids,Gold,Low Heels or Flats,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Soft,Don't exaggerate any feature,Balance upper and lower body
Brown,Green,Medium,Warm,Short Torso,Hourglass,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Tailored Fit,"Stretchy, Soft Fabric",Subtle Prints,Gold,Low Heels or Flats,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Stretchy,Don't exaggerate curves excessively,Highlight waistline
Brown,Green,Medium,Warm,Short Torso,Apple,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Empire Waist,Drapey Fabric,Dark Solid Tops,Gold,Low Heels or Flats,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Drapey,Don't exaggerate waist,Exaggerate shoulders and legs
Brown,Green,Medium,Warm,Long Torso,Rectangle,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Defined Waist,Structured Cotton,Curved Lines,Gold,Heels or Platforms,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Firm,Don't exaggerate straight lines,Exaggerate waistline
Brown,Green,Medium,Warm,Long Torso,Inverted Triangle,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",A-Line Bottoms,Flowy Fabric,Vertical Stripes,Gold,Heels or Platforms,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Flowy,Don't exaggerate shoulders,Exaggerate hips
Brown,Green,Medium,Warm,Long Torso,Triangle,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Emphasize Top,Lightweight Cotton,Bright Tops,Gold,Heels or Platforms,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Light,Don't exaggerate hips,Exaggerate upper body
Brown,Green,Medium,Warm,Long Torso,Oval,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Wraps and Empire,"Jersey, Knits",Diagonal Lines,Gold,Heels or Platforms,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Stretchy,Don't exaggerate midsection,Exaggerate neckline and legs
Brown,Green,Medium,Warm,Long Torso,Trapezoid,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Balanced Fit,Soft Blends,Simple Solids,Gold,Heels or Platforms,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Soft,Don't exaggerate any feature,Balance upper and lower body
Brown,Green,Medium,Warm,Long Torso,Hourglass,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Tailored Fit,"Stretchy, Soft Fabric",Subtle Prints,Gold,Heels or Platforms,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Stretchy,Don't exaggerate curves excessively,Highlight waistline
Brown,Green,Medium,Warm,Long Torso,Apple,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Empire Waist,Drapey Fabric,Dark Solid Tops,Gold,Heels or Platforms,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Drapey,Don't exaggerate waist,Exaggerate shoulders and legs
Brown,Green,Medium,Warm,Balanced,Rectangle,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Defined Waist,Structured Cotton,Curved Lines,Gold,Any Style,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Firm,Don't exaggerate straight lines,Exaggerate waistline
Brown,Green,Medium,Warm,Balanced,Inverted Triangle,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",A-Line Bottoms,Flowy Fabric,Vertical Stripes,Gold,Any Style,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Flowy,Don't exaggerate shoulders,Exaggerate hips
Brown,Green,Medium,Warm,Balanced,Triangle,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Emphasize Top,Lightweight Cotton,Bright Tops,Gold,Any Style,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Light,Don't exaggerate hips,Exaggerate upper body
Brown,Green,Medium,Warm,Balanced,Oval,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Wraps and Empire,"Jersey, Knits",Diagonal Lines,Gold,Any Style,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Stretchy,Don't exaggerate midsection,Exaggerate neckline and legs
Brown,Green,Medium,Warm,Balanced,Trapezoid,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Balanced Fit,Soft Blends,Simple Solids,Gold,Any Style,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Soft,Don't exaggerate any feature,Balance upper and lower body
Brown,Green,Medium,Warm,Balanced,Hourglass,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Tailored Fit,"Stretchy, Soft Fabric",Subtle Prints,Gold,Any Style,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Stretchy,Don't exaggerate curves excessively,Highlight waistline
Brown,Green,Medium,Warm,Balanced,Apple,"Earth Tones, Olive, Coral, Peach, Mustard, Warm Red","Cool Blue, Icy Gray, Jewel Tones",Empire Waist,Drapey Fabric,Dark Solid Tops,Gold,Any Style,"Warm colors (red, orange, yellow, warm greens)",Opposite on color wheel,Drapey,Don't exaggerate waist,Exaggerate shoulders and legs
Brown,Green,Medium,Cool,Short Torso,Rectangle,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",Defined Waist,Structured Cotton,Curved Lines,Silver,Low Heels or Flats,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel,Firm,Don't exaggerate straight lines,Exaggerate waistline
Brown,Green,Medium,Cool,Short Torso,Inverted Triangle,"Jewel Tones, Icy Blue, Lavender, Silver, Emerald","Orange, Mustard, Brown",A-Line Bottoms,Flowy Fabric,Vertical Stripes,Silver,Low Heels or Flats,"Cool colors (blue, green, violet, cool grays)",Opposite on color wheel,Flowy,Don't exaggerate shoulders,Exaggerate hips
